subscription_id,user_id,plan_type,start_date,end_date,status
S0000,U0001,Basic,2023-03-18,,active
S0001,U0002,Basic,2023-05-27,,active
S0002,U0003,Standard,2023-03-08,,active
S0003,U0004,Standard,2023-01-08,2023-04-18,canceled
S0004,U0005,Premium,2023-05-02,,active
S0005,U0006,Premium,2023-06-24,2023-10-05,canceled
S0006,U0007,Basic,2023-06-28,,active
S0007,U0008,Premium,2023-03-26,,active
S0008,U0009,Standard,2023-02-14,,active
S0009,U0010,Premium,2023-05-16,,active
S0010,U0011,Premium,2023-01-16,,active
S0011,U0012,Premium,2023-07-14,,active
S0012,U0013,Basic,2023-01-09,,active
S0013,U0014,Standard,2023-01-15,,active
S0014,U0015,Standard,2023-04-12,,active
S0015,U0016,Premium,2023-08-14,,active
S0016,U0017,Standard,2023-10-05,2023-11-23,canceled
S0017,U0018,Basic,2023-04-23,,active
S0018,U0019,Basic,2023-01-01,2023-06-05,canceled
S0019,U0020,Standard,2023-09-23,2024-03-09,canceled
S0020,U0021,Standard,2023-07-27,,active
S0021,U0022,Standard,2023-04-20,,active
S0022,U0023,Premium,2023-07-19,,active
S0023,U0024,Premium,2023-01-12,,active
S0024,U0025,Premium,2023-07-07,,active
S0025,U0026,Basic,2023-06-03,2023-08-07,canceled
S0026,U0027,Basic,2023-10-06,,active
S0027,U0028,Standard,2023-06-20,,active
S0028,U0029,Basic,2023-05-14,,active
S0029,U0030,Basic,2023-01-25,,active
S0030,U0031,Basic,2023-01-18,2023-03-30,canceled
S0031,U0032,Premium,2023-07-09,,active
S0032,U0033,Basic,2023-05-21,2023-09-19,canceled
S0033,U0034,Basic,2023-02-12,,active
S0034,U0035,Basic,2023-10-11,2023-12-21,canceled
S0035,U0036,Premium,2023-05-26,2023-07-23,canceled
S0036,U0037,Premium,2023-04-02,,active
S0037,U0038,Standard,2023-06-28,,active
S0038,U0039,Standard,2023-02-25,,active
S0039,U0040,Basic,2023-06-04,2023-10-14,canceled
S0040,U0041,Premium,2023-06-09,,active
S0041,U0042,Premium,2023-04-21,,active
S0042,U0043,Premium,2023-05-17,,active
S0043,U0044,Standard,2023-08-20,2023-12-11,canceled
S0044,U0045,Premium,2023-08-08,,active
S0045,U0046,Basic,2023-03-09,,active
S0046,U0047,Standard,2023-09-06,2023-12-23,canceled
S0047,U0048,Premium,2023-01-06,,active
S0048,U0049,Basic,2023-10-07,,active
S0049,U0050,Premium,2023-04-04,,active
S0050,U0051,Standard,2023-09-26,2023-12-13,canceled
S0051,U0052,Premium,2023-07-16,,active
S0052,U0053,Premium,2023-01-25,,active
S0053,U0054,Premium,2023-05-28,,active
S0054,U0055,Standard,2023-04-28,2023-09-09,canceled
S0055,U0056,Basic,2023-03-07,2023-08-31,canceled
S0056,U0057,Premium,2023-06-24,,active
S0057,U0058,Standard,2023-03-17,,active
S0058,U0059,Premium,2023-04-24,,active
S0059,U0060,Standard,2023-04-21,2023-10-13,canceled
S0060,U0061,Basic,2023-09-06,,active
S0061,U0062,Premium,2023-07-22,,active
S0062,U0063,Premium,2023-05-27,,active
S0063,U0064,Standard,2023-02-04,,active
S0064,U0065,Basic,2023-01-26,,active
S0065,U0066,Standard,2023-08-26,,active
S0066,U0067,Premium,2023-01-14,,active
S0067,U0068,Standard,2023-02-14,,active
S0068,U0069,Basic,2023-08-04,2023-12-07,canceled
S0069,U0070,Standard,2023-08-21,2024-01-27,canceled
S0070,U0071,Standard,2023-07-12,2023-11-22,canceled
S0071,U0072,Standard,2023-02-20,2023-08-15,canceled
S0072,U0073,Premium,2023-08-02,,active
S0073,U0074,Premium,2023-05-31,,active
S0074,U0075,Premium,2023-10-02,,active
S0075,U0076,Premium,2023-03-17,,active
S0076,U0077,Basic,2023-08-08,2023-10-01,canceled
S0077,U0078,Basic,2023-07-06,2023-12-06,canceled
S0078,U0079,Premium,2023-10-16,,active
S0079,U0080,Premium,2023-01-28,,active
S0080,U0081,Premium,2023-06-29,2023-08-30,canceled
S0081,U0082,Basic,2023-09-10,,active
S0082,U0083,Standard,2023-05-06,,active
S0083,U0084,Standard,2023-06-26,2023-08-18,canceled
S0084,U0085,Basic,2023-02-06,2023-04-07,canceled
S0085,U0086,Standard,2023-04-09,2023-08-31,canceled
S0086,U0087,Standard,2023-04-08,2023-06-15,canceled
S0087,U0088,Basic,2023-05-07,2023-08-25,canceled
S0088,U0089,Basic,2023-06-17,,active
S0089,U0090,Standard,2023-03-21,,active
S0090,U0091,Premium,2023-10-21,2023-12-26,canceled
S0091,U0092,Basic,2023-05-06,2023-08-26,canceled
S0092,U0093,Premium,2023-05-30,,active
S0093,U0094,Standard,2023-01-16,2023-04-09,canceled
S0094,U0095,Standard,2023-01-28,2023-02-27,canceled
S0095,U0096,Basic,2023-06-22,,active
S0096,U0097,Basic,2023-02-15,,active
S0097,U0098,Standard,2023-08-24,,active
S0098,U0099,Standard,2023-08-02,,active
S0099,U0100,Standard,2023-03-26,2023-07-22,canceled
S0100,U0101,Standard,2023-10-09,2024-01-31,canceled
S0101,U0102,Basic,2023-08-20,2023-12-18,canceled
S0102,U0103,Standard,2023-03-26,2023-07-26,canceled
S0103,U0104,Premium,2023-03-06,,active
S0104,U0105,Standard,2023-05-14,2023-07-28,canceled
S0105,U0106,Standard,2023-05-31,,active
S0106,U0107,Premium,2023-04-25,,active
S0107,U0108,Standard,2023-03-05,2023-05-12,canceled
S0108,U0109,Basic,2023-06-07,2023-08-10,canceled
S0109,U0110,Premium,2023-03-18,,active
S0110,U0111,Premium,2023-05-26,,active
S0111,U0112,Basic,2023-08-13,2023-11-27,canceled
S0112,U0113,Basic,2023-04-13,2023-10-08,canceled
S0113,U0114,Premium,2023-03-29,2023-07-15,canceled
S0114,U0115,Standard,2023-06-17,2023-12-08,canceled
S0115,U0116,Basic,2023-06-19,,active
S0116,U0117,Premium,2023-05-15,2023-07-19,canceled
S0117,U0118,Standard,2023-02-19,2023-07-14,canceled
S0118,U0119,Standard,2023-05-14,2023-10-20,canceled
S0119,U0120,Premium,2023-05-17,,active
S0120,U0121,Premium,2023-09-02,2023-11-12,canceled
S0121,U0122,Premium,2023-04-19,,active
S0122,U0123,Premium,2023-10-14,,active
S0123,U0124,Premium,2023-01-21,2023-03-24,canceled
S0124,U0125,Standard,2023-03-31,2023-08-12,canceled
S0125,U0126,Standard,2023-10-23,2024-01-11,canceled
S0126,U0127,Premium,2023-04-22,2023-05-31,canceled
S0127,U0128,Standard,2023-03-18,2023-04-26,canceled
S0128,U0129,Premium,2023-06-26,,active
S0129,U0130,Basic,2023-05-28,,active
S0130,U0131,Premium,2023-04-11,2023-05-29,canceled
S0131,U0132,Premium,2023-09-03,,active
S0132,U0133,Basic,2023-04-27,,active
S0133,U0134,Standard,2023-04-02,,active
S0134,U0135,Standard,2023-01-28,2023-07-12,canceled
S0135,U0136,Standard,2023-01-25,2023-04-22,canceled
S0136,U0137,Basic,2023-02-27,,active
S0137,U0138,Standard,2023-10-24,,active
S0138,U0139,Standard,2023-05-14,,active
S0139,U0140,Premium,2023-09-06,2023-10-19,canceled
S0140,U0141,Basic,2023-02-07,,active
S0141,U0142,Standard,2023-03-16,,active
S0142,U0143,Premium,2023-05-22,,active
S0143,U0144,Basic,2023-06-17,2023-08-18,canceled
S0144,U0145,Premium,2023-09-16,,active
S0145,U0146,Basic,2023-08-13,2023-09-26,canceled
S0146,U0147,Premium,2023-06-01,,active
S0147,U0148,Premium,2023-01-19,,active
S0148,U0149,Standard,2023-05-26,,active
S0149,U0150,Standard,2023-08-29,,active
S0150,U0151,Standard,2023-08-25,2024-01-24,canceled
S0151,U0152,Standard,2023-02-04,2023-05-12,canceled
S0152,U0153,Basic,2023-07-09,,active
S0153,U0154,Basic,2023-01-01,,active
S0154,U0155,Basic,2023-06-02,,active
S0155,U0156,Basic,2023-05-06,,active
S0156,U0157,Premium,2023-08-14,,active
S0157,U0158,Premium,2023-08-09,2023-11-10,canceled
S0158,U0159,Premium,2023-07-30,,active
S0159,U0160,Standard,2023-01-25,,active
S0160,U0161,Basic,2023-01-16,2023-05-13,canceled
S0161,U0162,Basic,2023-07-01,,active
S0162,U0163,Standard,2023-05-09,,active
S0163,U0164,Premium,2023-02-11,2023-06-05,canceled
S0164,U0165,Basic,2023-08-24,,active
S0165,U0166,Basic,2023-02-03,,active
S0166,U0167,Basic,2023-02-14,,active
S0167,U0168,Standard,2023-05-14,2023-07-05,canceled
S0168,U0169,Premium,2023-01-21,,active
S0169,U0170,Basic,2023-05-02,2023-06-22,canceled
S0170,U0171,Basic,2023-03-11,2023-06-22,canceled
S0171,U0172,Premium,2023-02-17,,active
S0172,U0173,Premium,2023-02-08,,active
S0173,U0174,Basic,2023-10-14,,active
S0174,U0175,Basic,2023-01-10,2023-02-17,canceled
S0175,U0176,Standard,2023-01-30,,active
S0176,U0177,Standard,2023-09-01,,active
S0177,U0178,Basic,2023-10-01,,active
S0178,U0179,Standard,2023-03-29,,active
S0179,U0180,Premium,2023-09-01,2024-02-21,canceled
S0180,U0181,Basic,2023-01-15,2023-03-31,canceled
S0181,U0182,Basic,2023-01-04,2023-02-04,canceled
S0182,U0183,Standard,2023-07-10,,active
S0183,U0184,Premium,2023-06-17,,active
S0184,U0185,Basic,2023-01-09,,active
S0185,U0186,Standard,2023-04-19,,active
S0186,U0187,Basic,2023-05-17,,active
S0187,U0188,Premium,2023-06-03,2023-08-15,canceled
S0188,U0189,Standard,2023-07-28,2023-11-23,canceled
S0189,U0190,Basic,2023-09-29,,active
S0190,U0191,Premium,2023-05-23,,active
S0191,U0192,Standard,2023-04-09,,active
S0192,U0193,Basic,2023-03-10,2023-07-24,canceled
S0193,U0194,Premium,2023-09-04,,active
S0194,U0195,Standard,2023-09-18,,active
S0195,U0196,Premium,2023-10-03,,active
S0196,U0197,Standard,2023-03-20,,active
S0197,U0198,Premium,2023-05-26,,active
S0198,U0199,Premium,2023-04-21,2023-06-27,canceled
S0199,U0200,Basic,2023-09-15,,active
S0200,U0201,Standard,2023-04-03,2023-09-24,canceled
S0201,U0202,Standard,2023-01-13,,active
S0202,U0203,Standard,2023-09-17,,active
S0203,U0204,Premium,2023-04-19,,active
S0204,U0205,Premium,2023-07-08,2023-09-23,canceled
S0205,U0206,Standard,2023-04-05,2023-09-29,canceled
S0206,U0207,Basic,2023-04-15,,active
S0207,U0208,Standard,2023-01-08,2023-04-24,canceled
S0208,U0209,Basic,2023-03-08,,active
S0209,U0210,Standard,2023-07-10,2023-11-13,canceled
S0210,U0211,Basic,2023-09-13,2024-03-02,canceled
S0211,U0212,Basic,2023-01-09,,active
S0212,U0213,Standard,2023-04-27,,active
S0213,U0214,Basic,2023-09-24,2023-12-13,canceled
S0214,U0215,Premium,2023-04-09,,active
S0215,U0216,Standard,2023-10-25,,active
S0216,U0217,Basic,2023-06-13,2023-09-30,canceled
S0217,U0218,Premium,2023-05-21,,active
S0218,U0219,Premium,2023-09-25,,active
S0219,U0220,Premium,2023-02-06,,active
S0220,U0221,Basic,2023-03-15,2023-08-31,canceled
S0221,U0222,Premium,2023-03-14,2023-07-18,canceled
S0222,U0223,Standard,2023-07-18,2023-12-19,canceled
S0223,U0224,Premium,2023-05-10,,active
S0224,U0225,Standard,2023-09-03,2024-01-13,canceled
S0225,U0226,Premium,2023-03-01,,active
S0226,U0227,Basic,2023-10-06,2023-11-28,canceled
S0227,U0228,Premium,2023-04-13,,active
S0228,U0229,Basic,2023-10-23,,active
S0229,U0230,Standard,2023-05-31,2023-08-05,canceled
S0230,U0231,Basic,2023-06-06,2023-07-31,canceled
S0231,U0232,Premium,2023-07-25,2023-10-24,canceled
S0232,U0233,Premium,2023-06-28,,active
S0233,U0234,Basic,2023-07-16,,active
S0234,U0235,Standard,2023-08-11,2023-12-19,canceled
S0235,U0236,Basic,2023-03-30,2023-08-01,canceled
S0236,U0237,Standard,2023-10-14,,active
S0237,U0238,Premium,2023-10-03,2023-12-14,canceled
S0238,U0239,Basic,2023-08-24,2024-02-09,canceled
S0239,U0240,Premium,2023-07-02,2023-09-21,canceled
S0240,U0241,Standard,2023-07-28,,active
S0241,U0242,Standard,2023-05-10,2023-07-23,canceled
S0242,U0243,Standard,2023-06-02,,active
S0243,U0244,Premium,2023-01-13,,active
S0244,U0245,Standard,2023-05-02,,active
S0245,U0246,Standard,2023-08-08,2024-01-03,canceled
S0246,U0247,Standard,2023-04-16,2023-07-09,canceled
S0247,U0248,Premium,2023-03-11,,active
S0248,U0249,Basic,2023-07-14,,active
S0249,U0250,Premium,2023-07-05,,active
S0250,U0251,Basic,2023-04-09,,active
S0251,U0252,Basic,2023-03-23,,active
S0252,U0253,Basic,2023-03-16,2023-09-10,canceled
S0253,U0254,Premium,2023-07-11,2023-09-30,canceled
S0254,U0255,Standard,2023-08-02,2023-12-20,canceled
S0255,U0256,Premium,2023-05-24,2023-09-08,canceled
S0256,U0257,Standard,2023-08-04,,active
S0257,U0258,Standard,2023-01-15,,active
S0258,U0259,Basic,2023-08-05,,active
S0259,U0260,Standard,2023-02-04,,active
S0260,U0261,Premium,2023-07-02,2023-11-03,canceled
S0261,U0262,Basic,2023-09-27,,active
S0262,U0263,Basic,2023-04-10,,active
S0263,U0264,Basic,2023-01-07,2023-04-03,canceled
S0264,U0265,Standard,2023-01-30,2023-07-11,canceled
S0265,U0266,Premium,2023-05-24,,active
S0266,U0267,Premium,2023-04-21,2023-09-14,canceled
S0267,U0268,Standard,2023-08-20,2023-10-05,canceled
S0268,U0269,Premium,2023-06-28,2023-12-21,canceled
S0269,U0270,Standard,2023-03-13,,active
S0270,U0271,Standard,2023-07-29,2023-12-12,canceled
S0271,U0272,Premium,2023-08-08,,active
S0272,U0273,Basic,2023-03-21,,active
S0273,U0274,Standard,2023-03-24,2023-08-20,canceled
S0274,U0275,Standard,2023-02-11,,active
S0275,U0276,Premium,2023-09-30,,active
S0276,U0277,Premium,2023-07-10,,active
S0277,U0278,Standard,2023-06-22,,active
S0278,U0279,Standard,2023-01-07,,active
S0279,U0280,Premium,2023-06-04,2023-07-13,canceled
S0280,U0281,Premium,2023-01-10,2023-02-27,canceled
S0281,U0282,Premium,2023-02-03,,active
S0282,U0283,Standard,2023-02-05,,active
S0283,U0284,Standard,2023-01-06,,active
S0284,U0285,Basic,2023-08-03,2023-09-15,canceled
S0285,U0286,Basic,2023-05-14,,active
S0286,U0287,Basic,2023-10-12,2023-12-16,canceled
S0287,U0288,Premium,2023-05-06,2023-08-06,canceled
S0288,U0289,Basic,2023-06-23,2023-09-03,canceled
S0289,U0290,Standard,2023-06-01,2023-08-26,canceled
S0290,U0291,Standard,2023-01-26,2023-03-20,canceled
S0291,U0292,Standard,2023-04-25,,active
S0292,U0293,Basic,2023-10-11,,active
S0293,U0294,Premium,2023-03-16,,active
S0294,U0295,Basic,2023-06-15,2023-08-08,canceled
S0295,U0296,Standard,2023-07-08,2023-11-24,canceled
S0296,U0297,Basic,2023-03-19,,active
S0297,U0298,Standard,2023-03-31,2023-06-16,canceled
S0298,U0299,Basic,2023-06-25,2023-08-09,canceled
S0299,U0300,Basic,2023-01-21,,active
S0300,U0301,Standard,2023-02-23,,active
S0301,U0302,Premium,2023-07-03,2023-09-03,canceled
S0302,U0303,Standard,2023-08-10,,active
S0303,U0304,Standard,2023-06-28,2023-08-29,canceled
S0304,U0305,Basic,2023-10-03,2024-01-07,canceled
S0305,U0306,Premium,2023-04-22,2023-07-22,canceled
S0306,U0307,Premium,2023-08-12,,active
S0307,U0308,Basic,2023-08-02,2024-01-01,canceled
S0308,U0309,Standard,2023-02-28,,active
S0309,U0310,Standard,2023-04-19,2023-07-23,canceled
S0310,U0311,Basic,2023-06-06,2023-11-02,canceled
S0311,U0312,Standard,2023-07-10,2023-09-12,canceled
S0312,U0313,Basic,2023-07-19,,active
S0313,U0314,Standard,2023-07-15,2023-09-11,canceled
S0314,U0315,Premium,2023-02-04,2023-05-17,canceled
S0315,U0316,Basic,2023-09-03,,active
S0316,U0317,Premium,2023-08-25,2024-01-14,canceled
S0317,U0318,Premium,2023-04-14,,active
S0318,U0319,Premium,2023-01-07,,active
S0319,U0320,Premium,2023-10-10,2024-01-14,canceled
S0320,U0321,Standard,2023-01-01,2023-05-16,canceled
S0321,U0322,Basic,2023-08-07,,active
S0322,U0323,Premium,2023-08-18,,active
S0323,U0324,Standard,2023-06-21,,active
S0324,U0325,Basic,2023-03-28,2023-05-12,canceled
S0325,U0326,Basic,2023-02-10,,active
S0326,U0327,Standard,2023-05-03,2023-07-12,canceled
S0327,U0328,Premium,2023-10-25,,active
S0328,U0329,Premium,2023-06-27,,active
S0329,U0330,Standard,2023-03-04,,active
S0330,U0331,Basic,2023-06-14,,active
S0331,U0332,Basic,2023-07-06,2023-10-16,canceled
S0332,U0333,Standard,2023-07-28,,active
S0333,U0334,Standard,2023-08-15,,active
S0334,U0335,Standard,2023-02-17,,active
S0335,U0336,Premium,2023-08-12,,active
S0336,U0337,Basic,2023-01-03,2023-06-23,canceled
S0337,U0338,Basic,2023-06-24,,active
S0338,U0339,Premium,2023-04-09,2023-05-26,canceled
S0339,U0340,Basic,2023-04-26,,active
S0340,U0341,Premium,2023-09-27,,active
S0341,U0342,Premium,2023-09-10,2023-12-31,canceled
S0342,U0343,Premium,2023-04-05,,active
S0343,U0344,Premium,2023-09-30,2023-12-16,canceled
S0344,U0345,Standard,2023-01-24,2023-04-12,canceled
S0345,U0346,Standard,2023-04-26,2023-09-15,canceled
S0346,U0347,Premium,2023-05-31,2023-08-04,canceled
S0347,U0348,Premium,2023-02-19,,active
S0348,U0349,Premium,2023-07-25,,active
S0349,U0350,Standard,2023-03-20,2023-06-11,canceled
S0350,U0351,Standard,2023-03-11,2023-05-20,canceled
S0351,U0352,Premium,2023-01-27,,active
S0352,U0353,Basic,2023-09-28,,active
S0353,U0354,Standard,2023-02-19,2023-04-14,canceled
S0354,U0355,Standard,2023-10-19,,active
S0355,U0356,Standard,2023-09-04,,active
S0356,U0357,Basic,2023-09-21,2023-11-27,canceled
S0357,U0358,Standard,2023-03-20,,active
S0358,U0359,Standard,2023-07-09,2023-10-26,canceled
S0359,U0360,Basic,2023-02-16,,active
S0360,U0361,Basic,2023-07-08,2023-10-18,canceled
S0361,U0362,Standard,2023-09-13,,active
S0362,U0363,Premium,2023-08-10,2024-01-30,canceled
S0363,U0364,Standard,2023-08-29,,active
S0364,U0365,Premium,2023-09-26,,active
S0365,U0366,Basic,2023-01-01,2023-05-29,canceled
S0366,U0367,Basic,2023-02-03,2023-06-12,canceled
S0367,U0368,Standard,2023-03-20,,active
S0368,U0369,Standard,2023-08-24,,active
S0369,U0370,Premium,2023-04-08,,active
S0370,U0371,Basic,2023-03-23,2023-05-19,canceled
S0371,U0372,Premium,2023-07-11,2023-08-11,canceled
S0372,U0373,Premium,2023-09-10,,active
S0373,U0374,Premium,2023-02-07,2023-05-18,canceled
S0374,U0375,Standard,2023-01-14,,active
S0375,U0376,Basic,2023-07-28,,active
S0376,U0377,Basic,2023-03-30,,active
S0377,U0378,Standard,2023-02-25,2023-05-05,canceled
S0378,U0379,Basic,2023-04-04,2023-05-11,canceled
S0379,U0380,Standard,2023-04-03,,active
S0380,U0381,Basic,2023-03-26,,active
S0381,U0382,Premium,2023-09-02,2024-02-28,canceled
S0382,U0383,Standard,2023-01-22,2023-05-29,canceled
S0383,U0384,Premium,2023-10-18,,active
S0384,U0385,Standard,2023-09-29,,active
S0385,U0386,Premium,2023-05-02,,active
S0386,U0387,Premium,2023-05-08,,active
S0387,U0388,Premium,2023-04-23,,active
S0388,U0389,Standard,2023-09-30,,active
S0389,U0390,Basic,2023-05-10,,active
S0390,U0391,Premium,2023-05-12,2023-07-15,canceled
S0391,U0392,Basic,2023-03-26,,active
S0392,U0393,Basic,2023-03-22,2023-06-01,canceled
S0393,U0394,Premium,2023-03-10,,active
S0394,U0395,Standard,2023-05-28,2023-09-03,canceled
S0395,U0396,Standard,2023-01-16,,active
S0396,U0397,Standard,2023-04-15,,active
S0397,U0398,Basic,2023-06-14,,active
S0398,U0399,Standard,2023-07-20,,active
S0399,U0400,Premium,2023-07-16,,active
S0400,U0401,Basic,2023-07-04,,active
S0401,U0402,Premium,2023-09-22,2023-12-29,canceled
S0402,U0403,Premium,2023-04-10,,active
S0403,U0404,Premium,2023-08-02,2023-11-17,canceled
S0404,U0405,Standard,2023-10-05,2023-12-28,canceled
S0405,U0406,Standard,2023-06-11,,active
S0406,U0407,Basic,2023-06-06,2023-10-08,canceled
S0407,U0408,Premium,2023-09-08,,active
S0408,U0409,Basic,2023-04-07,,active
S0409,U0410,Basic,2023-01-18,,active
S0410,U0411,Basic,2023-04-07,2023-07-27,canceled
S0411,U0412,Standard,2023-01-01,2023-06-06,canceled
S0412,U0413,Premium,2023-08-04,2023-09-15,canceled
S0413,U0414,Premium,2023-05-12,,active
S0414,U0415,Premium,2023-09-17,,active
S0415,U0416,Standard,2023-05-05,2023-10-24,canceled
S0416,U0417,Standard,2023-03-23,,active
S0417,U0418,Standard,2023-10-10,2023-12-31,canceled
S0418,U0419,Premium,2023-06-20,,active
S0419,U0420,Basic,2023-02-28,,active
S0420,U0421,Standard,2023-02-01,,active
S0421,U0422,Premium,2023-06-10,,active
S0422,U0423,Standard,2023-10-11,,active
S0423,U0424,Basic,2023-04-16,2023-08-09,canceled
S0424,U0425,Standard,2023-04-15,2023-10-09,canceled
S0425,U0426,Premium,2023-08-16,,active
S0426,U0427,Premium,2023-07-07,2023-10-28,canceled
S0427,U0428,Premium,2023-03-11,2023-05-11,canceled
S0428,U0429,Standard,2023-10-17,2023-12-01,canceled
S0429,U0430,Premium,2023-03-28,,active
S0430,U0431,Premium,2023-02-25,,active
S0431,U0432,Premium,2023-04-23,2023-06-06,canceled
S0432,U0433,Premium,2023-01-13,2023-04-21,canceled
S0433,U0434,Standard,2023-01-18,,active
S0434,U0435,Premium,2023-07-01,2023-10-02,canceled
S0435,U0436,Basic,2023-04-23,2023-08-05,canceled
S0436,U0437,Premium,2023-08-17,,active
S0437,U0438,Standard,2023-06-20,2023-10-29,canceled
S0438,U0439,Basic,2023-10-22,,active
S0439,U0440,Standard,2023-07-08,2024-01-01,canceled
S0440,U0441,Standard,2023-03-20,,active
S0441,U0442,Premium,2023-05-26,2023-10-31,canceled
S0442,U0443,Standard,2023-07-01,,active
S0443,U0444,Basic,2023-10-13,2024-03-27,canceled
S0444,U0445,Premium,2023-09-07,,active
S0445,U0446,Premium,2023-07-15,2024-01-05,canceled
S0446,U0447,Premium,2023-03-12,,active
S0447,U0448,Basic,2023-09-05,,active
S0448,U0449,Premium,2023-05-26,,active
S0449,U0450,Premium,2023-04-16,2023-06-29,canceled
S0450,U0451,Standard,2023-09-20,2024-03-16,canceled
S0451,U0452,Standard,2023-10-23,2023-11-30,canceled
S0452,U0453,Standard,2023-03-11,,active
S0453,U0454,Standard,2023-07-12,,active
S0454,U0455,Premium,2023-03-09,,active
S0455,U0456,Standard,2023-02-21,,active
S0456,U0457,Standard,2023-10-12,,active
S0457,U0458,Basic,2023-01-09,,active
S0458,U0459,Basic,2023-09-08,,active
S0459,U0460,Basic,2023-10-25,2024-01-31,canceled
S0460,U0461,Standard,2023-07-03,,active
S0461,U0462,Premium,2023-06-28,,active
S0462,U0463,Premium,2023-07-17,2023-10-29,canceled
S0463,U0464,Standard,2023-05-08,2023-08-31,canceled
S0464,U0465,Basic,2023-01-20,2023-06-15,canceled
S0465,U0466,Standard,2023-03-06,,active
S0466,U0467,Standard,2023-07-01,,active
S0467,U0468,Basic,2023-08-29,,active
S0468,U0469,Standard,2023-01-24,,active
S0469,U0470,Standard,2023-03-24,2023-06-07,canceled
S0470,U0471,Premium,2023-07-04,2023-12-16,canceled
S0471,U0472,Premium,2023-04-09,,active
S0472,U0473,Standard,2023-03-03,2023-04-08,canceled
S0473,U0474,Standard,2023-10-13,,active
S0474,U0475,Standard,2023-01-22,2023-03-08,canceled
S0475,U0476,Basic,2023-07-31,2024-01-16,canceled
S0476,U0477,Basic,2023-05-06,,active
S0477,U0478,Premium,2023-02-11,2023-07-12,canceled
S0478,U0479,Basic,2023-04-08,,active
S0479,U0480,Basic,2023-01-31,,active
S0480,U0481,Basic,2023-06-07,,active
S0481,U0482,Premium,2023-04-22,,active
S0482,U0483,Standard,2023-09-04,,active
S0483,U0484,Premium,2023-05-02,,active
S0484,U0485,Standard,2023-09-30,,active
S0485,U0486,Premium,2023-10-21,,active
S0486,U0487,Premium,2023-07-26,2023-12-16,canceled
S0487,U0488,Premium,2023-04-20,,active
S0488,U0489,Premium,2023-10-05,,active
S0489,U0490,Standard,2023-02-25,,active
S0490,U0491,Standard,2023-02-26,,active
S0491,U0492,Basic,2023-10-18,2023-12-31,canceled
S0492,U0493,Standard,2023-04-24,,active
S0493,U0494,Basic,2023-07-17,2023-12-26,canceled
S0494,U0495,Standard,2023-06-28,,active
S0495,U0496,Standard,2023-08-07,2023-09-13,canceled
S0496,U0497,Premium,2023-10-04,,active
S0497,U0498,Standard,2023-01-16,2023-02-18,canceled
S0498,U0499,Standard,2023-03-02,,active
S0499,U0500,Premium,2023-02-23,2023-04-30,canceled
